Water_type	Qetype	Quality element	Quality subelement	Indicator	Measurement	IndicatorDescription	WB_extrapolation	Nutrient loading	Organic loading	Acidification	Harmful substances	Hydrological changes	Morphological changes	General pressure
Lakes	Biological	Fish	Composition and abundance	LakeAindexW5	AindexW5	AindexW5	X	NA	NA	X	NA	NA	NA	NA
Lakes	Supporting	Nutrients	Phosphorus	LakeTPEQR	Total Phosphorus	Total Phosphorus (EQR)	X	X	NA	NA	NA	NA	NA	NA
Lakes	Supporting	Water transparency	Secchi depth	LakeSecchiEQR	Secchi depth	Secchi depth	X	X	X	NA	NA	NA	NA	NA
Lakes	Supporting	Oxygen	Oxygen	LakeOxygenSummer	Oxygen	Oxygen	NA	X	X	NA	NA	NA	NA	X
Lakes	Supporting	Acidification	pH	LakepHchange	pH	pH	X	NA	NA	X	NA	NA	NA	NA
Rivers	Biological	Macrophytes and phytobenthos	Phytobenthos composition	RiverIPS	BenthicDiatomsIPS	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Rivers	Biological	Macrophytes and phytobenthos	Phytobenthos composition	RiverIPSEQR	BenthicDiatomsIPS	BenthicDiatomsIPS (EQR)	X	X	X	NA	NA	NA	NA	NA
Rivers	Biological	Macrophytes and phytobenthos	Phytobenthos composition	RiverACID	BenthicDiatomsACID	BenthicDiatomsACID	X	NA	NA	X	NA	NA	NA	NA
Rivers	Supporting	Macrophytes and phytobenthos	Phytobenthos composition	RiverPctPT	BenthicDiatomsPctPT	BenthicDiatomsPctPT	X	X	X	NA	NA	NA	NA	NA
Rivers	Supporting	Macrophytes and phytobenthos	Phytobenthos composition	RiverTDI	BenthicDiatomsTDI	BenthicDiatomsTDI	X	X	X	NA	NA	NA	NA	NA
Rivers	Biological	Benthic invertebrates	Composition and abundance	RiverASPTEQR	BenthicInvertebratesASPT	BenthicInvertebratesASPT (EQR)	X	NA	NA	NA	NA	NA	NA	X
Rivers	Biological	Benthic invertebrates	Composition and abundance	RiverDJEQR	BenthicInvertebratesDJ	BenthicInvertebratesDJ (EQR)	X	X	NA	NA	NA	NA	NA	NA
Rivers	Biological	Benthic invertebrates	Composition and abundance	RiverMISAEQR	BenthicInvertebratesMISA	BenthicInvertebratesMISA (EQR)	X	NA	NA	X	NA	NA	NA	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIX	FishVIX	FishVIX	X	X	NA	X	NA	X	X	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIXs	FishVIXsm	FishVIXsm	X	X	NA	X	NA	X	X	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIXm	FishVIXsm	FishVIXsm	X	X	NA	X	NA	X	X	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIXh	FishVIXh	FishVIXh	X	X	NA	X	NA	X	X	NA
Rivers	Supporting	Nutrients	Nitrogen	RiverTNsummer	Total Nitrogen	Total Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Rivers	Supporting	Nutrients	Phosphorus	RiverTPEQR	Total Phosphorus	Total Phosphorus (EQR)	X	X	NA	NA	NA	NA	NA	NA
Rivers	Supporting	Oxygen	Oxygen	RiverOxygenSummer	Oxygen	Oxygen	NA	X	X	NA	NA	NA	NA	NA
Rivers	Supporting	Acidification	pH	RiverpHchange	pH	pH	X	NA	NA	X	NA	NA	NA	NA
