Water_type	Measurement	Unit	Transform	Region	Type	Typename	V_station	V_obspoint	V_year	V_yearmonth	V_monthhour	V_yearmonthhour	V_stationdate	V_stationyear	V_stationmonth	V_institution	V_replication
Coastal	BQI	No unit	identity	Västerhavet	1n	Västkustens inre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	1s	Västkustens inre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	2	Västkustens fjordar	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Västerhavet	6	Öresunds kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	7	Skånes kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	8	Blekinge skärgårds och Kalmarsunds inre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	9	Blekinge skärgård, och Kalmarsunds yttre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	10	Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	11	Gotlands västra och norra kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	12n	Östergötlands samt Stockholms skärgård, mellankustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	12s	Östergötlands samt Stockholms skärgård, mellankustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	13	Östergötlands inre skärgård	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
Coastal	BQI	No unit	identity	Egentliga Östersjön	14	Östergötlands, yttre kustvatten	1.43078165270279	0.806127168754815	0.373441550265683	NA	NA	NA	NA	0.505567679502845	NA	0.733133478262009	NA
